,sy_snum,sy_pnum,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
3328,1,2,681.086,10.813,-10.813,14.829,0.035,-0.035,12.931,0.029,-0.029,14.7207,0.000309,-0.000309
3329,1,2,681.086,10.813,-10.813,14.829,0.035,-0.035,12.931,0.029,-0.029,14.7207,0.000309,-0.000309
3330,1,1,558.5169999999998,7.166,-6.99,15.067,0.13699999999999998,-0.13699999999999998,12.972,0.028,-0.028,14.9483,0.00033,-0.00033
3331,1,1,587.039,5.0710000000000015,-4.9860000000000015,13.286,0.08,-0.08,11.634,0.019,-0.019,13.1714,0.000286,-0.000286
3332,1,3,1025.1,19.97,-19.22,13.95,0.13699999999999998,-0.13699999999999998,12.515999999999998,0.018000000000000002,-0.018000000000000002,13.9132,0.000234,-0.000234
3333,1,3,1025.1,19.97,-19.22,13.95,0.13699999999999998,-0.13699999999999998,12.515999999999998,0.018000000000000002,-0.018000000000000002,13.9132,0.000234,-0.000234
3334,1,3,1025.1,19.97,-19.22,13.95,0.13699999999999998,-0.13699999999999998,12.515999999999998,0.018000000000000002,-0.018000000000000002,13.9132,0.000234,-0.000234
3335,1,1,619.7230000000002,7.671,-7.487999999999999,14.845999999999998,0.24,-0.24,12.812,0.033,-0.033,14.701,0.000512,-0.000512
3336,1,1,414.825,2.4175,-2.4175,14.151,0.103,-0.103,12.129,0.021,-0.021,14.0013,0.00022799999999999999,-0.00022799999999999999
3337,1,1,1159.31,26.995,-26.995,14.72,0.149,-0.149,12.936,0.025,-0.025,14.4779,0.00025299999999999997,-0.00025299999999999997
3338,1,3,1539.63,96.82,-96.82,14.969,0.172,-0.172,13.214,0.034,-0.034,14.8159,0.00028700000000000004,-0.00028700000000000004
3339,1,3,1539.63,96.82,-96.82,14.969,0.172,-0.172,13.214,0.034,-0.034,14.8159,0.00028700000000000004,-0.00028700000000000004
3340,1,3,1539.63,96.82,-96.82,14.969,0.172,-0.172,13.214,0.034,-0.034,14.8159,0.00028700000000000004,-0.00028700000000000004
3341,1,1,1026.49,21.22,-20.4,14.791,0.183,-0.183,13.19,0.037000000000000005,-0.037000000000000005,14.6798,0.00028700000000000004,-0.00028700000000000004
3342,1,2,556.58,5.2410000000000005,-5.2410000000000005,14.376,0.103,-0.103,12.422,0.02,-0.02,14.1363,0.00028700000000000004,-0.00028700000000000004
3343,1,2,556.58,5.2410000000000005,-5.2410000000000005,14.376,0.103,-0.103,12.422,0.02,-0.02,14.1363,0.00028700000000000004,-0.00028700000000000004
3344,1,1,1215.11,39.75,-37.36,14.895,0.08,-0.08,13.202,0.036000000000000004,-0.036000000000000004,14.6644,0.000306,-0.000306
3345,1,1,519.122,5.407,-5.407,14.672,0.206,-0.206,12.425999999999998,0.019,-0.019,14.3746,0.00024700000000000004,-0.00024700000000000004
3346,1,1,946.683,17.4735,-17.4735,14.84,0.183,-0.183,13.077,0.029,-0.029,14.657,0.000305,-0.000305
3347,1,1,1065.82,28.09,-26.7,14.96,0.069,-0.069,13.281,0.038,-0.038,14.8041,0.000386,-0.000386
3348,1,1,335.079,5.0,-4.8580000000000005,15.277,0.069,-0.069,12.272,0.019,-0.019,15.0426,0.0013050000000000002,-0.0013050000000000002
3349,1,2,845.824,16.77,-16.142,14.816,0.229,-0.229,13.267,0.048,-0.048,14.7698,0.000436,-0.000436
3350,1,2,845.824,16.77,-16.142,14.816,0.229,-0.229,13.267,0.048,-0.048,14.7698,0.000436,-0.000436
3351,1,1,1395.56,39.44,-37.36,14.734000000000002,0.08,-0.08,13.035,0.027000000000000003,-0.027000000000000003,14.5717,0.00033999999999999997,-0.00033999999999999997
3352,1,1,1445.53,51.77,-48.37,15.191,0.13699999999999998,-0.13699999999999998,13.264,0.029,-0.029,14.9103,0.000333,-0.000333
3353,1,1,861.4939999999998,13.654000000000002,-13.242,14.795,0.149,-0.149,13.067,0.035,-0.035,14.5892,0.00025699999999999996,-0.00025699999999999996
3354,1,1,527.995,5.8805,-5.8805,14.81,0.069,-0.069,12.662,0.023,-0.023,14.5441,0.000281,-0.000281
3355,1,1,330.0,14.565,-19.994,14.623,0.126,-0.126,11.966,0.011,-0.011,14.3489,0.001451,-0.001451
3356,1,2,945.775,24.0505,-24.0505,15.021,0.058,-0.058,13.448,0.044,-0.044,14.9475,0.000426,-0.000426
3357,1,2,945.775,24.0505,-24.0505,15.021,0.058,-0.058,13.448,0.044,-0.044,14.9475,0.000426,-0.000426
3358,1,1,173.354,0.95,-0.95,15.549,0.114,-0.114,11.573,0.023,-0.023,14.8277,0.000728,-0.000728
3359,1,1,1221.96,32.13,-32.13,15.087,0.183,-0.183,13.335,0.037000000000000005,-0.037000000000000005,14.8038,0.000359,-0.000359
3360,1,2,900.678,16.3815,-16.3815,14.84,0.046,-0.046,13.291,0.037000000000000005,-0.037000000000000005,14.6704,0.00045099999999999996,-0.00045099999999999996
3361,1,2,900.678,16.3815,-16.3815,14.84,0.046,-0.046,13.291,0.037000000000000005,-0.037000000000000005,14.6704,0.00045099999999999996,-0.00045099999999999996
3362,1,5,300.874,1.219,-1.219,13.965,0.092,-0.092,11.659,0.021,-0.021,13.7197,0.00020800000000000001,-0.00020800000000000001
3363,1,5,300.874,1.219,-1.219,13.965,0.092,-0.092,11.659,0.021,-0.021,13.7197,0.00020800000000000001,-0.00020800000000000001
3364,1,5,300.874,1.219,-1.219,13.965,0.092,-0.092,11.659,0.021,-0.021,13.7197,0.00020800000000000001,-0.00020800000000000001
3365,1,5,300.874,1.219,-1.219,13.965,0.092,-0.092,11.659,0.021,-0.021,13.7197,0.00020800000000000001,-0.00020800000000000001
3366,1,5,300.874,1.219,-1.219,13.965,0.092,-0.092,11.659,0.021,-0.021,13.7197,0.00020800000000000001,-0.00020800000000000001
3367,1,1,1355.28,46.28,-46.28,14.844,0.024,-0.024,13.284,0.04,-0.04,14.6381,0.000362,-0.000362
3368,1,1,389.0,14.239,-15.58,15.22,0.069,-0.069,12.407,0.024,-0.024,14.8956,0.000701,-0.000701
3369,1,1,284.761,1.676,-1.656,15.052,0.13699999999999998,-0.13699999999999998,11.909,0.02,-0.02,14.6521,0.000315,-0.000315
3370,1,1,737.702,15.079,-14.497,15.028,0.149,-0.149,13.211,0.033,-0.033,14.9634,0.000388,-0.000388
3371,1,1,748.188,11.8425,-11.8425,13.637,0.126,-0.126,12.205,0.021,-0.021,13.4569,0.000202,-0.000202
3372,1,2,760.7080000000002,9.8,-9.559,13.395,0.08,-0.08,11.905,0.021,-0.021,13.2641,0.00021400000000000002,-0.00021400000000000002
3373,1,2,760.7080000000002,9.8,-9.559,13.395,0.08,-0.08,11.905,0.021,-0.021,13.2641,0.00021400000000000002,-0.00021400000000000002
3374,1,1,635.643,6.5075,-6.5075,14.086,0.103,-0.103,12.388,0.026,-0.026,13.9435,0.00025,-0.00025
3375,1,1,984.307,16.3345,-16.3345,14.181,0.206,-0.206,12.608,0.029,-0.029,13.949000000000002,0.00023199999999999997,-0.00023199999999999997
3376,1,1,897.9010000000002,13.701,-13.302,13.138,0.08,-0.08,11.599,0.021,-0.021,13.0557,0.000323,-0.000323
3377,1,1,372.05,1.954,-1.933,13.481,0.114,-0.114,11.646,0.02,-0.02,13.358,0.00037799999999999997,-0.00037799999999999997
3378,1,1,194.033,0.959,-0.949,12.02,0.026,-0.026,9.997,0.022,-0.022,11.5352,0.000609,-0.000609
3379,1,1,839.784,12.0185,-12.0185,14.001,0.08,-0.08,12.293,0.022,-0.022,13.8518,0.000227,-0.000227
3380,1,1,761.966,10.7895,-10.7895,13.563,0.13699999999999998,-0.13699999999999998,12.208,0.026,-0.026,13.493,0.000277,-0.000277
