sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
2,5,259.88,0.29,-0.29,0.0,0.7708,0.0043,-0.0044,0.0,7.59,,,0.0,0.677,,,0.0,44.812,3.814,-3.814,0.0,0.141,0.012,-0.012,0.0,0.08,0.05,-0.04,0.0,,,,,,,,,0,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0.0,0.35,0.1,-0.1,0.0,4.43,0.02,-0.02,0.0,133.1468373,28.329815399999998,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523
1,1,934.3,8.6,-8.6,0.0,2.11,0.11,-0.11,0.0,13.4,,,0.0,1.19,,,0.0,638.8383,24.47291,-24.47291,0.0,2.01,0.077,-0.077,0.0,0.073,0.036,-0.036,0.0,,,,,,,,,0,4938.0,,,0.0,5.2,,,0.0,1.44,,,0.0,-0.13,0.02,-0.02,0.0,3.19,,,0.0,97.6960311,58.161175300000004,54.6599,0.2734,-0.2734,5.873069999999999,0.023,-0.023,3.701,0.3,-0.3,5.60686,0.001085,-0.001085
1,3,4.215,0.0006,-0.0006,0.0,0.050200999999999996,5e-06,-5e-06,0.0,2.11,,,0.0,0.188,,,0.0,5.1,0.5,-0.5,0.0,0.016,0.002,-0.002,0.0,0.12,0.11,-0.11,0.0,,,,,,,,,0,5577.0,33.0,-33.0,0.0,0.96,0.01,-0.01,0.0,0.94,0.03,-0.03,0.0,-0.01,,,0.0,4.34,0.03,-0.03,0.0,199.596455,-18.3157745,8.50332,0.01737,-0.0173,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701
1,3,38.021,0.034,-0.034,0.0,0.2175,0.0001,-0.0001,0.0,4.46,,,0.0,0.39799999999999996,,,0.0,18.2,1.1,-1.1,0.0,0.057,0.003,-0.003,0.0,0.14,0.06,-0.06,0.0,,,,,,,,,0,5577.0,33.0,-33.0,0.0,0.96,0.01,-0.01,0.0,0.94,0.03,-0.03,0.0,-0.01,,,0.0,4.34,0.03,-0.03,0.0,199.596455,-18.3157745,8.50332,0.01737,-0.0173,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701
1,3,123.01,0.55,-0.55,0.0,0.476,0.001,-0.001,0.0,5.11,,,0.0,0.456,,,0.0,22.9,2.6,-2.6,0.0,0.072,0.008,-0.008,0.0,0.35,0.09,-0.09,0.0,,,,,,,,,0,5577.0,33.0,-33.0,0.0,0.96,0.01,-0.01,0.0,0.94,0.03,-0.03,0.0,-0.01,,,0.0,4.34,0.03,-0.03,0.0,199.596455,-18.3157745,8.50332,0.01737,-0.0173,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701
1,2,735.1,14.8,-1.0,0.0,1.758,0.024,-0.001,0.0,13.4,,,0.0,1.2,,,0.0,587.9855,19.0698,-19.0698,0.0,1.85,0.06,-0.06,0.0,0.06,0.03,-0.03,0.0,,,,,,,,,0,4826.0,45.0,-55.0,0.0,4.87,0.17,-0.14,0.0,1.34,0.11,-0.12,0.0,0.21,0.1,-0.1,0.0,3.19,0.06,-0.07,0.0,99.171276,-19.256180800000003,19.8101,0.1648,-0.1648,3.95,0.03,-0.03,1.564,0.252,-0.252,3.6785300000000003,0.0041348,-0.0041348
1,2,996.0,1.5,-52.4,0.0,2.153,0.003,-0.08,0.0,13.9,,,0.0,1.24,,,0.0,276.5121,19.0698,-19.0698,0.0,0.87,0.06,-0.06,0.0,0.08,0.05,-0.04,0.0,,,,,,,,,0,4826.0,45.0,-55.0,0.0,4.87,0.17,-0.14,0.0,1.34,0.11,-0.12,0.0,0.21,0.1,-0.1,0.0,3.19,0.06,-0.07,0.0,99.171276,-19.256180800000003,19.8101,0.1648,-0.1648,3.95,0.03,-0.03,1.564,0.252,-0.252,3.6785300000000003,0.0041348,-0.0041348
1,1,116.688,0.0054,-0.0054,0.0,0.481,0.022,-0.022,0.0,12.6,,,0.0,1.13,,,0.0,2380.45,193.87,-193.87,0.0,7.49,0.61,-0.61,0.0,0.3988,0.0019,-0.0019,0.0,,,,,,,,,0,5495.0,,,0.0,1.89,,,0.0,1.09,,,0.0,-0.09,0.03,-0.03,0.0,3.95,,,0.0,202.1064898,13.776308499999999,17.9011,0.056,-0.0557,4.9680800000000005,0.023,-0.023,3.5,0.294,-0.294,4.76178,0.0044158,-0.0044158
2,1,691.9,3.6,-3.6,0.0,2.1,,,0.0,13.1,,,0.0,1.17,,,0.0,953.49,,,0.0,3.0,,,0.0,0.117,0.048,-0.048,0.0,,,,,,,,,0,4846.0,18.0,-18.0,0.0,10.5,1.0,-1.0,0.0,2.49,0.02,-0.27,0.0,0.0,0.04,-0.04,0.0,2.63,0.05,-0.05,0.0,38.0391598,-1.0350269,82.9613,0.72365,-0.72365,5.3532,0.023,-0.023,3.207,0.272,-0.272,5.093430000000001,0.0039324,-0.0039324
1,1,93.4,4.5,-4.5,0.0,0.49,0.02,-0.02,0.0,13.6,,,0.0,1.22,,,0.0,416.3573,50.8528,-50.8528,0.0,1.31,0.16,-0.16,0.0,0.06,0.09,-0.09,0.0,,,,,,,,,0,4847.0,7.0,-7.0,0.0,10.3,0.57,-0.57,0.0,1.44,0.19,-0.19,0.0,-0.03,,,0.0,2.57,0.03,-0.03,0.0,224.201685,74.9009379,162.552,0.651,-0.646,6.83295,0.023,-0.023,4.515,0.02,-0.02,6.558960000000001,0.00023700000000000001,-0.00023700000000000001
