,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasselim,pl_bmassj,pl_bmassjlim,pl_orbeccen,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqtlim
2183,308.5471,0.002415,-0.002415,0.0,0.9625,0.0,3.46,1.49,-0.68,0.0,0.309,0.133,-0.061,0.0,11.8,0.0,0.0372,0.0,0.0,0.0,4.79,0.2,-0.19,0.0,330.0,0.0
2184,5.71668872,2.925e-05,-2.925e-05,0.0,0.0599,0.0,1.89,0.22,-0.15,0.0,0.16899999999999998,0.02,-0.013000000000000001,0.0,4.23,0.0,0.0133,0.0,0.0,0.0,196.51,158.34,-60.7,0.0,955.0,0.0
2185,138.9442,0.001214,-0.001214,0.0,0.5329,0.0,2.55,0.25,-0.19,0.0,0.22699999999999998,0.022000000000000002,-0.017,0.0,7.04,0.0,0.0221,0.0,0.0,0.0,5.38,0.21,-0.21,0.0,384.0,0.0
2186,364.758031,0.0058200000000000005,-0.0058200000000000005,0.0,0.8507,0.0,3.14,0.36,-0.53,0.0,0.28,0.032,-0.047,0.0,10.0,0.0,0.0315,0.0,0.0,0.0,0.19,0.01,-0.01,0.0,166.0,0.0
2187,1.4444538,2.33e-06,-2.33e-06,0.0,0.0245,0.0,1.18,0.06,-0.09,0.0,0.105,0.005,-0.008,0.0,1.76,0.0,0.005529999999999999,0.0,0.0,0.0,713.17,20.16,-19.62,0.0,1800.0,0.0
2188,175.13881899999996,0.002807,-0.002807,0.0,0.6095,0.0,2.82,0.7,-0.31,0.0,0.252,0.062,-0.027999999999999997,0.0,8.35,0.0,0.0263,0.0,0.0,0.0,1.99,0.15,-0.14,0.0,346.0,0.0
2189,133.3036741,0.0008843,-0.0008843,0.0,0.4765,0.0,2.7,0.19,-0.15,0.0,0.24100000000000002,0.017,-0.013000000000000001,0.0,7.75,0.0,0.0244,0.0,0.0,0.0,1.57,0.09,-0.09,0.0,301.0,0.0
2190,33.040532,0.000215,-0.000215,0.0,0.198,0.0,2.26,0.44,-0.44,0.0,0.20199999999999999,0.039,-0.039,0.0,5.73,0.0,0.018000000000000002,0.0,0.0,0.0,28.11,1.29,-1.23,0.0,561.0,0.0
2191,62.303276,0.000406,-0.000406,0.0,0.303,0.0,2.95,0.62,-0.62,0.0,0.263,0.055,-0.055,0.0,9.01,0.0,0.0283,0.0,0.0,0.0,12.07,0.55,-0.53,0.0,454.0,0.0
2192,20.54981883,2.572e-05,-2.572e-05,0.0,0.1415,0.0,3.84,0.32,-0.24,0.0,0.34299999999999997,0.028999999999999998,-0.021,0.0,14.1,0.0,0.0444,0.0,0.0,0.0,53.0,2.43,-2.31,0.0,657.0,0.0
2193,3.93276465,1.225e-05,-1.225e-05,0.0,0.047,0.0,1.5,0.14,-0.12,0.0,0.134,0.012,-0.011000000000000001,0.0,2.86,0.0,0.00899,0.0,0.0,0.0,480.4,22.05,-20.99,0.0,1140.0,0.0
2194,9.91935684,7.788e-05,-7.788e-05,0.0,0.0871,0.0,1.5,0.34,-0.21,0.0,0.134,0.03,-0.019,0.0,2.86,0.0,0.00899,0.0,0.0,0.0,139.88,6.42,-6.11,0.0,838.0,0.0
2195,125.41311770000002,0.0004189,-0.0004189,0.0,0.4426,0.0,2.49,0.19,-0.14,0.0,0.222,0.017,-0.012,0.0,6.76,0.0,0.0213,0.0,0.0,0.0,0.85,0.02,-0.02,0.0,266.0,0.0
