,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim
3528,5282.0,97.87,-62.48,0.0,0.79,0.06,-0.07,0.0,0.82,0.06,-0.06,0.0,-0.19,0.18,-0.21100000000000002,0.0,4.57,0.05,-0.06,0.0
3529,6014.0,221.13,-288.93,0.0,1.13,0.38,-0.18,0.0,1.08,0.14,-0.11,0.0,0.02,0.129,-0.16399999999999998,0.0,4.37,0.12,-0.2,0.0
3530,6228.0,72.21,-60.59,0.0,1.42,0.31,-0.23,0.0,1.16,0.12,-0.08,0.0,-0.1,0.12,-0.132,0.0,4.19,0.13,-0.13,0.0
3531,6228.0,72.21,-60.59,0.0,1.42,0.31,-0.23,0.0,1.16,0.12,-0.08,0.0,-0.1,0.12,-0.132,0.0,4.19,0.13,-0.13,0.0
3532,6228.0,72.21,-60.59,0.0,1.42,0.31,-0.23,0.0,1.16,0.12,-0.08,0.0,-0.1,0.12,-0.132,0.0,4.19,0.13,-0.13,0.0
3533,6228.0,72.21,-60.59,0.0,1.42,0.31,-0.23,0.0,1.16,0.12,-0.08,0.0,-0.1,0.12,-0.132,0.0,4.19,0.13,-0.13,0.0
3534,5860.0,94.6,-133.91,0.0,1.04,0.22,-0.09,0.0,1.04,0.06,-0.06,0.0,0.06,0.14400000000000002,-0.161,0.0,4.42,0.07,-0.15,0.0
3535,6409.0,95.0,-95.0,0.0,1.32,0.08,-0.08,0.0,1.2,0.2,-0.2,0.0,-0.1,0.2,-0.2,0.0,4.2,0.3,-0.3,0.0
3536,5322.0,65.68,-81.73,0.0,0.85,0.07,-0.04,0.0,0.89,0.04,-0.04,0.0,0.08,0.147,-0.166,0.0,4.54,0.04,-0.08,0.0
3537,5322.0,65.68,-81.73,0.0,0.85,0.07,-0.04,0.0,0.89,0.04,-0.04,0.0,0.08,0.147,-0.166,0.0,4.54,0.04,-0.08,0.0
3538,5706.0,130.9,-104.39,0.0,0.93,0.11,-0.07,0.0,0.95,0.06,-0.06,0.0,-0.09,0.146,-0.191,0.0,4.48,0.06,-0.1,0.0
3539,5944.0,98.94,-123.9,0.0,1.08,0.23,-0.11,0.0,1.06,0.07,-0.06,0.0,0.02,0.139,-0.162,0.0,4.4,0.07,-0.15,0.0
3540,5166.0,75.73,-93.71,0.0,0.8,0.05,-0.04,0.0,0.84,0.04,-0.04,0.0,0.01,0.133,-0.155,0.0,4.57,0.03,-0.06,0.0
3541,5557.0,132.83,-102.61,0.0,0.89,0.1,-0.07,0.0,0.92,0.05,-0.05,0.0,-0.06,0.145,-0.18100000000000002,0.0,4.51,0.05,-0.1,0.0
3542,5901.0,81.23,-89.97,0.0,1.06,0.23,-0.1,0.0,1.05,0.06,-0.06,0.0,0.04,0.145,-0.154,0.0,4.41,0.07,-0.16,0.0
3543,5992.0,95.54,-140.96,0.0,1.15,0.31,-0.13,0.0,1.1,0.09,-0.07,0.0,0.09,0.14800000000000002,-0.147,0.0,4.36,0.09,-0.18,0.0
3544,5694.0,163.45,-124.14,0.0,0.94,0.12,-0.08,0.0,0.96,0.06,-0.06,0.0,-0.05,0.14300000000000002,-0.198,0.0,4.48,0.06,-0.11,0.0
3545,5108.0,177.47,-165.03,0.0,0.78,0.05,-0.05,0.0,0.82,0.05,-0.05,0.0,-0.03,0.153,-0.168,0.0,4.58,0.03,-0.06,0.0
3546,6186.0,127.24,-184.13,0.0,1.28,0.55,-0.19,0.0,1.19,0.17,-0.11,0.0,0.06,0.131,-0.14,0.0,4.3,0.11,-0.25,0.0
3547,6186.0,127.24,-184.13,0.0,1.28,0.55,-0.19,0.0,1.19,0.17,-0.11,0.0,0.06,0.131,-0.14,0.0,4.3,0.11,-0.25,0.0
3548,5520.0,60.0,-60.0,0.0,0.99,0.02,-0.02,0.0,0.95,0.04,-0.04,0.0,0.2,0.05,-0.05,0.0,4.42,0.01,-0.01,0.0
3549,5598.0,127.6,-124.54,0.0,0.92,0.12,-0.07,0.0,0.94,0.05,-0.06,0.0,-0.01,0.135,-0.179,0.0,4.49,0.06,-0.11,0.0
3550,5598.0,127.6,-124.54,0.0,0.92,0.12,-0.07,0.0,0.94,0.05,-0.06,0.0,-0.01,0.135,-0.179,0.0,4.49,0.06,-0.11,0.0
3551,5598.0,127.6,-124.54,0.0,0.92,0.12,-0.07,0.0,0.94,0.05,-0.06,0.0,-0.01,0.135,-0.179,0.0,4.49,0.06,-0.11,0.0
3552,5906.0,145.88,-193.81,0.0,1.05,0.18,-0.11,0.0,1.03,0.08,-0.07,0.0,0.01,0.135,-0.16899999999999998,0.0,4.42,0.08,-0.13,0.0
3553,5714.0,67.61,-85.03,0.0,1.11,0.22,-0.15,0.0,0.98,0.04,-0.04,0.0,0.03,0.081,-0.096,0.0,4.33,0.12,-0.14,0.0
3554,5850.0,76.73,-65.3,0.0,1.01,0.05,-0.04,0.0,1.04,0.04,-0.03,0.0,0.05,0.08800000000000001,-0.086,0.0,4.45,0.03,-0.04,0.0
3555,6403.0,86.23,-76.7,0.0,2.42,0.34,-0.41,0.0,1.57,0.11,-0.14,0.0,0.04,0.076,-0.043,0.0,3.87,0.12,-0.09,0.0
3556,5468.0,67.97,-70.49,0.0,0.84,0.02,-0.02,0.0,0.92,0.03,-0.03,0.0,-0.04,0.10300000000000001,-0.1,0.0,4.56,0.01,-0.01,0.0
3557,5071.0,57.15,-86.62,0.0,0.78,0.04,-0.04,0.0,0.83,0.04,-0.04,0.0,0.05,0.157,-0.16399999999999998,0.0,4.58,0.02,-0.05,0.0
3558,4043.0,36.21,-34.4,0.0,0.56,0.02,-0.02,0.0,0.58,0.02,-0.03,0.0,-0.17,0.091,-0.111,0.0,4.71,0.01,-0.01,0.0
3559,5102.0,71.96,-62.12,0.0,0.77,0.04,-0.05,0.0,0.81,0.04,-0.05,0.0,-0.09,0.147,-0.18600000000000005,0.0,4.58,0.03,-0.05,0.0
3560,3804.0,35.65,-34.03,0.0,0.44,0.03,-0.03,0.0,0.46,0.03,-0.03,0.0,-0.43,0.08199999999999999,-0.086,0.0,4.81,0.03,-0.03,0.0
3561,5089.0,50.0,-50.0,0.0,0.75,0.03,-0.03,0.0,0.84,0.32,-0.32,0.0,-0.14,0.08900000000000001,-0.092,0.0,4.6,0.1,-0.1,0.0
3562,5769.0,62.55,-57.06,0.0,1.02,0.1,-0.06,0.0,1.01,0.03,-0.03,0.0,0.05,0.08900000000000001,-0.092,0.0,4.42,0.06,-0.08,0.0
3563,5162.0,64.88,-64.49,0.0,0.78,0.04,-0.06,0.0,0.81,0.04,-0.05,0.0,-0.1,0.151,-0.19899999999999998,0.0,4.58,0.03,-0.06,0.0
3564,5867.0,70.1,-61.94,0.0,1.01,0.13,-0.09,0.0,0.98,0.05,-0.05,0.0,-0.14,0.127,-0.125,0.0,4.42,0.08,-0.1,0.0
